Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
12,3,APEX,Rykk,25.03.25 14-32-58.csv,222,25.03.25 14-32-00,25.03.25 14-33-59,36.0,-14.0,-18.0,True,False,True,,7.864000000000001,5.396,1,981.26,./main/output/plots/25.03.25 14-32-58.png
12,3,BASIS,Rykk,25.03.25 14-50-18.csv,222,25.03.25 14-49-00,25.03.25 14-50-59,35.0,-12.0,-3.0,True,False,False,Står apex på bildet,9.004,4.843999999999999,1,2059.07,./main/output/plots/25.03.25 14-50-18.png
12,4,APEX,Motor,25.03.25 14-37-27.csv,185,25.03.25 14-36-00,25.03.25 14-37-59,36.0,-16.0,-25.0,True,False,False,Bra bilder av frostskade,9.643213,5.875,1,221.28,./main/output/plots/25.03.25 14-37-27.png
12,4,BASIS,Rykk,25.03.25 14-53-09.csv,185,25.03.25 14-52-00,25.03.25 14-53-59,36.0,-6.0,-2.0,True,True,False,,7.1450000000000005,4.789,1,2098.37,./main/output/plots/25.03.25 14-53-09.png
12,5,APEX,Rykk,25.03.25 14-39-42.csv,225,25.03.25 14-38-00,25.03.25 14-39-59,34.0,-23.0,-16.0,True,False,True,bra bilde av skade,5.711,3.848014,1,948.91,./main/output/plots/25.03.25 14-39-42.png
12,5,BASIS,Motor,25.03.25 14-55-10.csv,225,25.03.25 14-54-00,25.03.25 14-55-59,35.0,-6.0,-4.0,True,True,False,,9.785198,5.730001,1,1415.02,./main/output/plots/25.03.25 14-55-10.png
12,6,BASIS,Motor,25.03.25 14-42-06.csv,175,25.03.25 14-40-00,25.03.25 14-42-59,35.0,-21.0,-13.0,True,True,False,,5.359213,1.924007,1,1361.7,./main/output/plots/25.03.25 14-42-06.png
12,6,APEX,Rykk,25.03.25 14-56-48.csv,175,25.03.25 14-56-00,25.03.25 14-57-59,35.0,-6.0,0.0,False,False,False,"ingen adhesjon, varmt rør",5.467984,3.684,1,75.03,./main/output/plots/25.03.25 14-56-48.png
13,1,APEX,Motor,25.03.25 15-18-45.csv,230,25.03.25 15-17-00,25.03.25 15-19-59,36.0,-9.0,-25.0,True,False,True,,9.091212,6.936,1,111.62,./main/output/plots/25.03.25 15-18-45.png
13,1,BASIS,Rykk,25.03.25 15-36-57.csv,230,25.03.25 15-36-00,25.03.25 15-37-59,36.0,-14.0,-10.0,True,True,False,,10.803985,7.684015,1,1893.87,./main/output/plots/25.03.25 15-36-57.png
13,2,BASIS,Motor,25.03.25 15-20-53.csv,210,25.03.25 15-20-00,25.03.25 15-21-59,36.0,-22.0,-20.0,True,False,False,på formalin,5.584001,1.4799999999999995,1,161.49,./main/output/plots/25.03.25 15-20-53.png
13,2,APEX,Rykk,25.03.25 15-38-38.csv,210,25.03.25 15-38-00,25.03.25 15-39-59,36.0,-12.0,-7.0,True,True,False,"Pent bilde, på formalin",10.454,9.406007,1,1314.98,./main/output/plots/25.03.25 15-38-38.png
13,3,APEX,Rykk,25.03.25 15-23-41.csv,170,25.03.25 15-22-00,25.03.25 15-23-59,34.0,-23.0,-5.0,True,True,False,"dobbelt rykk, på formalin",5.841997,4.27,1,1681.46,./main/output/plots/25.03.25 15-23-41.png
13,3,BASIS,Motor,25.03.25 15-43-09.csv,170,25.03.25 15-42-00,25.03.25 15-43-59,35.0,-18.0,-27.0,True,False,False,bra bilde av skade,8.555212999999998,6.163,1,250.6,./main/output/plots/25.03.25 15-43-09.png
13,4,BASIS,Rykk,25.03.25 15-25-39.csv,194,25.03.25 15-25-00,25.03.25 15-26-59,36.0,-17.0,-5.0,True,True,False,"dobbelt rykk, bra skade",11.995007,5.003007,1,2602.67,./main/output/plots/25.03.25 15-25-39.png
