time,temperature
25.03.25 12-49-20,-23.285
25.03.25 12-49-21,-23.260
25.03.25 12-49-22,-23.162
25.03.25 12-49-22,-23.354
25.03.25 12-49-23,-23.088
25.03.25 12-49-23,-23.011
25.03.25 12-49-24,-22.701
25.03.25 12-49-24,-22.954
25.03.25 12-49-25,-22.736
25.03.25 12-49-25,-22.808
25.03.25 12-49-26,-22.810
25.03.25 12-49-26,-22.342
25.03.25 12-49-27,-22.383
25.03.25 12-49-27,-22.381
25.03.25 12-49-28,-22.027
25.03.25 12-49-28,-22.372
25.03.25 12-49-29,-22.637
25.03.25 12-49-29,-22.251
25.03.25 12-49-30,-22.334
25.03.25 12-49-30,-22.377
25.03.25 12-49-31,-22.153
25.03.25 12-49-31,-22.202
25.03.25 12-49-32,-21.855
25.03.25 12-49-32,-22.184
25.03.25 12-49-33,-21.911
25.03.25 12-49-33,-21.956
25.03.25 12-49-34,-21.813
25.03.25 12-49-34,-21.799
25.03.25 12-49-35,-21.997
25.03.25 12-49-35,-21.944
25.03.25 12-49-36,-21.992
25.03.25 12-49-36,-21.961
25.03.25 12-49-37,-21.519
25.03.25 12-49-37,-21.264
25.03.25 12-49-38,-21.504
25.03.25 12-49-38,-21.394
25.03.25 12-49-39,-21.090
25.03.25 12-49-39,-20.816
25.03.25 12-49-40,-20.923
25.03.25 12-49-40,-20.997
25.03.25 12-49-41,-21.050
25.03.25 12-49-41,-21.048
25.03.25 12-49-42,-20.923
25.03.25 12-49-42,-21.109
25.03.25 12-49-43,-21.113
25.03.25 12-49-43,-21.140
25.03.25 12-49-44,-20.715
25.03.25 12-49-44,-20.754
25.03.25 12-49-45,-21.206
25.03.25 12-49-45,-20.825
