gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
65322,23.92,-25.88,1000.14,23.81,25.03.25 12-50-25,252.02
65422,23.92,-25.94,1000.14,23.81,25.03.25 12-50-28,225.08
65725,23.95,-26.0,1000.14,23.82,25.03.25 12-50-31,124.89
66132,23.99,-26.0,1000.15,23.82,25.03.25 12-50-34,199.34
66390,24.01,-26.06,1000.14,23.82,25.03.25 12-50-37,0.15
66338,24.01,-26.12,1000.15,23.82,25.03.25 12-50-40,0.1
66545,24.01,-26.12,1000.15,23.82,25.03.25 12-50-43,0.12
66493,23.99,-26.19,1000.15,23.82,25.03.25 12-50-46,0.14
66235,23.95,-26.19,1000.15,23.82,25.03.25 12-50-49,0.15
65928,23.93,-26.19,1000.14,23.82,25.03.25 12-50-52,0.16
65826,23.88,-26.19,1000.15,23.82,25.03.25 12-50-56,0.18
66235,23.83,-26.19,1000.15,23.82,25.03.25 12-50-59,0.18
66493,23.79,-26.19,1000.15,23.82,25.03.25 12-51-01,0.18
66545,23.79,-26.19,1000.15,23.82,25.03.25 12-51-04,0.17
66753,23.83,-26.19,1000.16,23.82,25.03.25 12-51-07,0.18
67332,23.83,-26.19,1000.16,23.82,25.03.25 12-51-10,0.18
67599,23.79,-26.19,1000.18,23.82,25.03.25 12-51-13,0.19
68139,23.74,-26.19,1000.17,23.82,25.03.25 12-51-16,0.17
68139,23.72,-26.12,1000.17,23.82,25.03.25 12-51-19,0.19
67922,23.71,-26.12,1000.17,23.82,25.03.25 12-51-22,0.22
68303,23.69,-26.06,1000.18,23.82,25.03.25 12-51-25,0.19
68357,23.73,-26.06,1000.17,23.82,25.03.25 12-51-28,0.17
68030,23.77,-26.06,1000.17,23.82,25.03.25 12-51-31,0.2
67760,23.79,-26.0,1000.17,23.82,25.03.25 12-51-34,0.21
68193,23.79,-25.94,1000.17,23.82,25.03.25 12-51-37,0.21
68030,23.88,-25.88,1000.17,23.82,25.03.25 12-51-40,0.21
68357,24.0,-25.88,1000.17,23.82,25.03.25 12-51-43,0.21
68085,24.03,-25.81,1000.17,23.82,25.03.25 12-51-46,178.48
68743,23.99,-25.75,1000.17,23.82,25.03.25 12-51-49,173.93
69357,23.93,-25.69,1000.17,23.82,25.03.25 12-51-52,174.58
69021,23.88,-25.62,1000.17,23.82,25.03.25 12-51-55,174.62
68798,23.87,-25.56,1000.17,23.82,25.03.25 12-51-58,0.39
68522,23.91,-25.5,1000.17,23.82,25.03.25 12-52-01,0.36
68854,23.88,-25.44,1000.17,23.82,25.03.25 12-52-04,0.28
68632,23.9,-25.37,1000.16,23.82,25.03.25 12-52-07,0.22
68965,23.89,-25.31,1000.16,23.82,25.03.25 12-52-10,0.21
68303,23.98,-25.25,1000.16,23.82,25.03.25 12-52-13,0.12
68467,24.03,-25.19,1000.16,23.82,25.03.25 12-52-16,0.2
68798,24.0,-25.12,1000.17,23.82,25.03.25 12-52-19,0.16
68909,23.94,-25.0,1000.17,23.82,25.03.25 12-52-22,0.16
68743,23.86,-24.94,1000.18,23.82,25.03.25 12-52-25,0.17
69021,23.84,-24.87,1000.18,23.82,25.03.25 12-52-28,0.16
68798,23.84,-24.75,1000.18,23.82,25.03.25 12-52-31,0.15
69021,23.87,-24.69,1000.18,23.82,25.03.25 12-52-34,0.13
69301,23.87,-24.56,1000.18,23.82,25.03.25 12-52-37,0.14
69189,23.88,-24.5,1000.18,23.82,25.03.25 12-52-39,0.13
69584,24.01,-24.37,1000.19,23.82,25.03.25 12-52-42,0.15
69754,24.04,-24.25,1000.2,23.82,25.03.25 12-52-45,0.16
69414,24.05,-24.12,1000.2,23.83,25.03.25 12-52-48,0.17
69983,23.95,-24.0,1000.2,23.83,25.03.25 12-52-51,0.17
70271,23.86,-23.94,1000.2,23.83,25.03.25 12-52-54,0.17
70098,23.78,-23.81,1000.2,23.83,25.03.25 12-52-57,0.15
70041,23.75,-23.69,1000.2,23.83,25.03.25 12-53-00,0.18
70156,23.82,-23.56,1000.2,23.83,25.03.25 12-53-03,0.14
69470,23.81,-23.5,1000.19,23.83,25.03.25 12-53-06,0.14
69077,23.79,-23.38,1000.19,23.83,25.03.25 12-53-08,0.14
69077,23.8,-23.25,1000.19,23.83,25.03.25 12-53-11,0.17
69697,23.83,-23.12,1000.19,23.83,25.03.25 12-53-14,0.15
69868,23.84,-23.06,1000.18,23.83,25.03.25 12-53-17,0.14
69983,23.85,-22.94,1000.18,23.83,25.03.25 12-53-20,0.17
70445,23.84,-22.81,1000.17,23.83,25.03.25 12-53-23,5.36
69926,23.83,-22.69,1000.17,23.83,25.03.25 12-53-26,173.32
69640,23.83,-22.62,1000.17,23.83,25.03.25 12-53-29,173.37
69245,23.84,-22.5,1000.18,23.83,25.03.25 12-53-32,173.33
69811,23.84,-22.37,1000.19,23.83,25.03.25 12-53-35,173.29
70098,23.8,-22.31,1000.19,23.84,25.03.25 12-53-38,173.33
69926,23.78,-22.19,1000.19,23.84,25.03.25 12-53-41,173.23
69357,23.77,-22.06,1000.19,23.84,25.03.25 12-53-44,101.62
68965,23.8,-21.94,1000.19,23.84,25.03.25 12-53-47,0.11
69640,23.78,-21.81,1000.19,23.84,25.03.25 12-53-50,0.16
69527,23.78,-21.75,1000.18,23.84,25.03.25 12-53-52,0.11
69868,23.8,-21.62,1000.18,23.84,25.03.25 12-53-55,0.09
69983,23.85,-21.5,1000.19,23.84,25.03.25 12-53-58,0.11
69527,23.93,-21.44,1000.18,23.84,25.03.25 12-54-02,0.09
69697,23.93,-21.31,1000.19,23.84,25.03.25 12-54-04,0.09
69357,23.9,-21.19,1000.18,23.84,25.03.25 12-54-07,0.02
69697,23.85,-21.06,1000.17,23.84,25.03.25 12-54-10,128.37
69926,23.77,-20.94,1000.17,23.84,25.03.25 12-54-14,85.35
69697,23.71,-20.81,1000.18,23.84,25.03.25 12-54-17,95.0
69584,23.66,-20.69,1000.17,23.84,25.03.25 12-54-20,34.71
70329,23.64,-20.56,1000.17,23.84,25.03.25 12-54-23,63.38
71150,23.65,-20.44,1000.18,23.84,25.03.25 12-54-26,73.28
71329,23.63,-20.37,1000.19,23.84,25.03.25 12-54-29,68.44
71568,23.6,-20.25,1000.19,23.84,25.03.25 12-54-32,304.44
71688,23.64,-20.12,1000.2,23.84,25.03.25 12-54-34,3.3
71329,23.68,-20.0,1000.19,23.85,25.03.25 12-54-37,0.12
71032,23.88,-19.81,1000.19,23.85,25.03.25 12-54-40,0.14
71329,23.89,-19.69,1000.2,23.85,25.03.25 12-54-43,0.13
71748,23.86,-19.56,1000.19,23.85,25.03.25 12-54-46,0.12
71809,23.87,-19.44,1000.2,23.85,25.03.25 12-54-49,0.16
71688,23.89,-19.31,1000.19,23.85,25.03.25 12-54-52,0.15
71930,23.92,-19.12,1000.19,23.85,25.03.25 12-54-55,0.17
72112,23.95,-19.0,1000.19,23.85,25.03.25 12-54-58,0.14
72418,23.89,-18.87,1000.19,23.85,25.03.25 12-55-01,0.17
72603,23.8,-18.75,1000.19,23.85,25.03.25 12-55-03,0.14
72851,23.7,-18.56,1000.19,23.85,25.03.25 12-55-07,0.15
72480,23.62,-18.31,1000.2,23.85,25.03.25 12-55-10,0.15
72112,23.63,-18.06,1000.21,23.85,25.03.25 12-55-12,0.14
72112,23.66,-17.81,1000.21,23.85,25.03.25 12-55-15,0.16
72295,23.7,-17.56,1000.21,23.85,25.03.25 12-55-18,0.13
72234,23.68,-17.31,1000.21,23.85,25.03.25 12-55-21,0.17
72789,23.64,-17.06,1000.21,23.85,25.03.25 12-55-24,0.12
72913,23.57,-16.81,1000.21,23.85,25.03.25 12-55-27,0.17
72976,23.54,-16.5,1000.2,23.85,25.03.25 12-55-30,0.13
73226,23.61,-16.19,1000.21,23.85,25.03.25 12-55-33,0.18
73101,23.64,-15.88,1000.21,23.85,25.03.25 12-55-36,0.15
73605,23.58,-15.56,1000.2,23.85,25.03.25 12-55-40,0.14
72357,23.56,-15.25,1000.21,23.85,25.03.25 12-55-43,0.15
72727,23.53,-14.94,1000.21,23.85,25.03.25 12-55-46,0.15
72173,23.48,-14.63,1000.2,23.85,25.03.25 12-55-49,0.15
73038,23.45,-14.25,1000.2,23.84,25.03.25 12-55-52,0.14
73289,23.41,-13.94,1000.19,23.84,25.03.25 12-55-55,0.14
73352,23.41,-13.62,1000.2,23.84,25.03.25 12-55-58,0.14
72603,23.42,-13.31,1000.19,23.84,25.03.25 12-56-01,0.15
72295,23.44,-13.0,1000.2,23.84,25.03.25 12-56-03,0.13
71210,23.48,-12.75,1000.19,23.84,25.03.25 12-56-06,0.16
71329,23.5,-12.44,1000.18,23.84,25.03.25 12-56-09,0.13
71269,23.48,-12.13,1000.18,23.84,25.03.25 12-56-12,0.15
71210,23.48,-11.81,1000.19,23.84,25.03.25 12-56-15,0.16
71508,23.45,-11.5,1000.18,23.84,25.03.25 12-56-18,0.14
71269,23.43,-11.19,1000.18,23.84,25.03.25 12-56-21,0.15
71568,23.43,-10.94,1000.18,23.84,25.03.25 12-56-24,0.15
71991,23.41,-10.63,1000.18,23.84,25.03.25 12-56-27,0.15
72727,23.39,-10.31,1000.18,23.84,25.03.25 12-56-30,0.15
72976,23.38,-10.0,1000.18,23.84,25.03.25 12-56-33,0.16
73289,23.38,-9.75,1000.17,23.84,25.03.25 12-56-36,0.14
73163,23.38,-9.44,1000.17,23.84,25.03.25 12-56-39,0.15
73226,23.38,-9.19,1000.17,23.84,25.03.25 12-56-42,0.14
73415,23.37,-8.81,1000.18,23.84,25.03.25 12-56-45,0.13
72665,23.37,-8.56,1000.17,23.83,25.03.25 12-56-48,0.14
73101,23.37,-8.31,1000.18,23.83,25.03.25 12-56-51,0.16
73352,23.35,-7.94,1000.18,23.83,25.03.25 12-56-54,0.13
73732,23.34,-7.69,1000.2,23.83,25.03.25 12-56-58,0.14
73796,23.33,-7.44,1000.2,23.83,25.03.25 12-57-01,0.14
73289,23.34,-7.12,1000.2,23.83,25.03.25 12-57-04,0.14
73352,23.35,-6.81,1000.2,23.83,25.03.25 12-57-07,0.12
73478,23.33,-6.62,1000.2,23.83,25.03.25 12-57-10,178.3
74245,23.31,-6.31,1000.2,23.83,25.03.25 12-57-13,178.24
74505,23.29,-6.06,1000.2,23.82,25.03.25 12-57-16,178.23
75029,23.33,-5.81,1000.2,23.83,25.03.25 12-57-22,178.18
72789,23.45,-5.31,1000.19,23.82,25.03.25 12-57-25,0.12
73226,23.45,-5.12,1000.2,23.81,25.03.25 12-57-28,0.13
73542,23.46,-4.87,1000.2,23.82,25.03.25 12-57-30,0.12
73796,23.48,-4.62,1000.2,23.82,25.03.25 12-57-33,0.14
74375,23.48,-4.37,1000.2,23.82,25.03.25 12-57-36,0.13
74505,23.52,-4.19,1000.2,23.82,25.03.25 12-57-39,0.13
74766,23.49,-3.87,1000.2,23.82,25.03.25 12-57-42,0.13
74505,23.46,-3.75,1000.2,23.82,25.03.25 12-57-45,0.13
74766,23.44,-4.12,1000.2,23.83,25.03.25 12-57-48,0.14
74963,23.43,-4.81,1000.2,23.83,25.03.25 12-57-51,0.16
74963,23.41,-5.56,1000.19,23.83,25.03.25 12-57-54,0.13
75095,23.43,-6.37,1000.19,23.82,25.03.25 12-58-04,0.15
73038,23.63,-8.25,1000.2,23.81,25.03.25 12-58-05,0.13
72976,23.63,-9.13,1000.2,23.81,25.03.25 12-58-08,0.15
72603,23.61,-9.75,1000.2,23.81,25.03.25 12-58-11,0.13
73289,23.56,-10.31,1000.19,23.81,25.03.25 12-58-14,0.12
73352,23.51,-10.63,1000.19,23.81,25.03.25 12-58-17,0.11
73988,23.57,-10.81,1000.19,23.81,25.03.25 12-58-20,0.14
74116,23.62,-11.06,1000.2,23.81,25.03.25 12-58-23,0.14
74505,23.65,-11.25,1000.21,23.81,25.03.25 12-58-26,0.15
73988,23.67,-11.44,1000.21,23.82,25.03.25 12-58-29,0.11
74052,23.69,-11.69,1000.21,23.82,25.03.25 12-58-32,0.14
