gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
110226,13.18,20.5,994.37,23.68,11.03.25 16-37-55,0.02
108681,13.18,20.5,994.38,23.68,11.03.25 16-37-58,0.04
108959,13.17,20.56,994.38,23.68,11.03.25 16-38-01,0.05
110226,13.16,20.56,994.38,23.68,11.03.25 16-38-03,0.04
109589,13.16,20.56,994.38,23.68,11.03.25 16-38-06,0.08
108820,13.15,20.56,994.39,23.68,11.03.25 16-38-09,0.03
108199,13.13,20.56,994.38,23.68,11.03.25 16-38-12,0.06
108130,13.11,20.56,994.37,23.69,11.03.25 16-38-15,0.04
107653,13.07,20.56,994.38,23.69,11.03.25 16-38-18,0.01
107721,13.05,20.56,994.38,23.69,11.03.25 16-38-21,0.07
106978,13.05,20.56,994.39,23.69,11.03.25 16-38-24,0.06
103601,13.04,20.56,994.38,23.69,11.03.25 16-38-27,0.03
103163,13.04,20.62,994.38,23.69,11.03.25 16-38-29,0.05
104875,13.04,20.62,994.38,23.69,11.03.25 16-38-32,0.04
107585,13.06,20.62,994.39,23.69,11.03.25 16-38-35,0.05
108336,13.1,20.62,994.37,23.69,11.03.25 16-38-38,0.03
109448,13.15,20.62,994.37,23.69,11.03.25 16-38-41,0.05
110942,13.14,20.62,994.37,23.69,11.03.25 16-38-44,0.04
112256,13.15,20.62,994.37,23.69,11.03.25 16-38-47,0.02
109659,13.18,20.62,994.37,23.69,11.03.25 16-38-50,0.06
109448,13.26,20.62,994.38,23.69,11.03.25 16-38-52,0.05
108062,13.37,20.62,994.37,23.69,11.03.25 16-38-55,0.06
107789,13.39,20.62,994.37,23.69,11.03.25 16-38-58,0.04
105458,13.37,20.62,994.37,23.69,11.03.25 16-39-01,0.04
103664,13.33,20.69,994.37,23.69,11.03.25 16-39-04,0.05
104362,13.29,20.69,994.38,23.7,11.03.25 16-39-07,0.05
105198,13.24,20.69,994.39,23.7,11.03.25 16-39-10,0.05
107450,13.21,20.69,994.38,23.7,11.03.25 16-39-13,0.03
109308,13.19,20.69,994.38,23.7,11.03.25 16-39-16,0.04
109028,13.17,20.69,994.38,23.69,11.03.25 16-39-19,0.04
109729,13.15,20.69,994.38,23.69,11.03.25 16-39-22,0.05
110154,13.14,20.69,994.39,23.69,11.03.25 16-39-25,0.05
110226,13.12,20.69,994.38,23.69,11.03.25 16-39-29,0.06
108612,13.12,20.69,994.38,23.69,11.03.25 16-39-32,0.08
107180,13.14,20.69,994.39,23.69,11.03.25 16-39-35,0.04
109589,13.14,20.69,994.39,23.69,11.03.25 16-39-38,0.04
111231,13.12,20.75,994.39,23.69,11.03.25 16-39-41,0.04
113299,13.1,20.75,994.39,23.69,11.03.25 16-39-44,0.07
114132,13.08,20.75,994.39,23.69,11.03.25 16-39-47,0.04
112700,13.07,20.75,994.39,23.69,11.03.25 16-39-50,0.07
112403,13.09,20.75,994.39,23.69,11.03.25 16-39-56,0.08
109378,13.13,20.75,994.39,23.68,11.03.25 16-39-59,0.05
108889,13.14,20.75,994.4,23.67,11.03.25 16-40-02,0.05
109589,13.19,20.75,994.39,23.68,11.03.25 16-40-05,0.1
110511,13.27,20.81,994.39,23.68,11.03.25 16-40-08,0.05
5684,15.95,23.06,994.51,24.88,11.03.25 14-36-47,-0.0
5684,15.32,23.06,994.51,24.63,11.03.25 14-36-50,0.02
5684,15.03,23.06,994.53,24.44,11.03.25 14-36-53,-0.0
5684,15.16,23.06,994.53,24.29,11.03.25 14-36-56,0.03
5684,15.27,23.06,994.55,24.18,11.03.25 14-37-00,0.02
5684,15.18,23.06,994.55,24.1,11.03.25 14-37-02,0.03
5684,15.0,23.06,994.53,24.04,11.03.25 14-37-05,0.02
5684,14.81,23.06,994.54,23.99,11.03.25 14-37-08,0.04
5684,14.61,23.06,994.54,23.96,11.03.25 14-37-11,0.02
5684,14.45,23.06,994.55,23.93,11.03.25 14-37-14,0.06
5941,14.33,23.06,994.56,23.92,11.03.25 14-37-17,0.03
6232,14.23,23.06,994.54,23.9,11.03.25 14-37-20,0.04
6673,14.12,23.06,994.54,23.89,11.03.25 14-37-23,0.06
7162,13.99,23.06,994.54,23.89,11.03.25 14-37-26,0.06
7531,13.8,23.06,994.54,23.88,11.03.25 14-37-29,0.07
7812,13.91,23.06,994.53,23.88,11.03.25 14-37-32,0.07
8024,14.35,23.12,994.53,23.89,11.03.25 14-37-34,0.05
8292,14.97,23.12,994.53,23.9,11.03.25 14-37-37,0.09
8627,15.67,23.12,994.53,23.91,11.03.25 14-37-40,0.05
9137,16.12,23.12,994.53,23.91,11.03.25 14-37-43,0.07
9782,15.95,23.12,994.53,23.92,11.03.25 14-37-46,0.08
10332,15.45,23.12,994.53,23.92,11.03.25 14-37-49,0.07
10749,15.03,23.12,994.52,23.93,11.03.25 14-37-52,0.06
11224,14.67,23.12,994.52,23.93,11.03.25 14-37-55,0.07
11615,14.41,23.12,994.52,23.93,11.03.25 14-37-57,0.05
12336,14.22,23.12,994.53,23.94,11.03.25 14-38-01,0.05
12703,14.11,23.12,994.53,23.94,11.03.25 14-38-06,0.05
12050,14.42,23.12,994.53,23.94,11.03.25 14-38-09,0.06
12635,15.08,23.12,994.53,23.95,11.03.25 14-38-12,0.04
13355,15.26,23.12,994.53,23.95,11.03.25 14-38-15,0.02
13894,15.08,23.12,994.53,23.96,11.03.25 14-38-18,0.02
14352,14.82,23.12,994.54,23.96,11.03.25 14-38-21,0.05
14719,14.64,23.12,994.54,23.96,11.03.25 14-38-24,0.07
15212,14.56,23.12,994.54,23.97,11.03.25 14-38-27,0.05
15636,14.53,23.12,994.54,23.97,11.03.25 14-38-30,0.06
15976,14.47,23.12,994.53,23.97,11.03.25 14-38-33,0.09
16393,14.39,23.12,994.53,23.97,11.03.25 14-38-36,0.05
16899,14.31,23.12,994.53,23.97,11.03.25 14-38-38,0.1
17199,14.24,23.12,994.53,23.97,11.03.25 14-38-41,0.07
17553,14.16,23.12,994.53,23.97,11.03.25 14-38-44,0.08
17922,14.1,23.12,994.53,23.97,11.03.25 14-38-47,0.09
18228,14.04,23.12,994.53,23.97,11.03.25 14-38-50,0.09
18610,14.03,23.12,994.53,23.96,11.03.25 14-38-53,0.05
18974,14.14,23.19,994.53,23.96,11.03.25 14-38-56,0.09
19423,14.14,23.12,994.52,23.96,11.03.25 14-38-59,0.07
20006,14.0,23.12,994.52,23.95,11.03.25 14-39-02,0.03
20330,13.84,23.19,994.52,23.94,11.03.25 14-39-05,0.07
20826,13.7,23.19,994.51,23.94,11.03.25 14-39-07,0.06
21304,13.59,23.19,994.51,23.94,11.03.25 14-39-10,0.07
21628,13.5,23.12,994.51,23.93,11.03.25 14-39-13,0.06
21872,13.44,23.19,994.5,23.92,11.03.25 14-39-16,0.07
22099,13.42,23.12,994.5,23.92,11.03.25 14-39-19,0.06
22377,13.48,23.19,994.5,23.92,11.03.25 14-39-22,0.06
22614,13.56,23.19,994.5,23.91,11.03.25 14-39-25,0.07
22808,13.58,23.19,994.5,23.91,11.03.25 14-39-28,0.04
23529,13.61,23.19,994.5,23.91,11.03.25 14-39-31,0.03
23885,13.61,23.19,994.5,23.9,11.03.25 14-39-34,0.01
24141,13.58,23.19,994.49,23.9,11.03.25 14-39-37,0.04
24587,13.56,23.19,994.5,23.9,11.03.25 14-39-40,0.05
24975,13.53,23.19,994.5,23.9,11.03.25 14-39-42,0.03
25196,13.53,23.19,994.5,23.89,11.03.25 14-39-45,0.04
25346,13.57,23.19,994.51,23.89,11.03.25 14-39-49,0.05
25697,13.57,23.19,994.51,23.89,11.03.25 14-39-52,0.05
26058,13.53,23.19,994.51,23.88,11.03.25 14-39-55,0.07
26528,13.46,23.19,994.5,23.88,11.03.25 14-39-58,0.02
26218,13.41,23.19,994.51,23.89,11.03.25 14-40-01,0.05
26138,13.79,23.19,994.51,23.89,11.03.25 14-40-04,0.06
26594,14.06,23.19,994.52,23.89,11.03.25 14-40-07,0.05
27170,14.03,23.19,994.52,23.89,11.03.25 14-40-10,-0.34
27663,13.95,23.19,994.52,23.89,11.03.25 14-40-13,-0.07
28249,13.82,23.19,994.51,23.89,11.03.25 14-40-16,0.06
28457,13.68,23.19,994.5,23.89,11.03.25 14-40-19,0.04
28744,13.68,23.19,994.5,23.89,11.03.25 14-40-22,0.04
29077,13.63,23.19,994.49,23.89,11.03.25 14-40-25,0.03
29622,13.53,23.19,994.49,23.88,11.03.25 14-40-27,0.05
29892,13.43,23.19,994.49,23.88,11.03.25 14-40-30,0.03
30210,13.37,23.19,994.49,23.88,11.03.25 14-40-33,0.03
30490,13.34,23.19,994.5,23.88,11.03.25 14-40-36,0.05
30955,13.27,23.19,994.51,23.87,11.03.25 14-40-39,0.06
31227,13.2,23.19,994.51,23.87,11.03.25 14-40-42,0.04
31411,13.18,23.19,994.5,23.87,11.03.25 14-40-45,0.02
31503,13.18,23.19,994.5,23.86,11.03.25 14-40-48,0.05
31880,13.22,23.19,994.51,23.86,11.03.25 14-40-54,0.05
31090,13.29,23.19,994.51,23.85,11.03.25 14-40-57,0.04
31573,13.28,23.19,994.51,23.84,11.03.25 14-41-00,0.05
32072,13.27,23.19,994.51,23.84,11.03.25 14-41-03,0.03
32586,13.3,23.19,994.51,23.84,11.03.25 14-41-06,0.05
32686,13.31,23.19,994.5,23.84,11.03.25 14-41-09,0.04
32938,13.33,23.19,994.48,23.84,11.03.25 14-41-12,0.06
33169,13.38,23.19,994.51,23.84,11.03.25 14-41-15,0.01
33402,13.42,23.19,994.51,23.84,11.03.25 14-41-18,0.0
33639,13.43,23.19,994.51,23.84,11.03.25 14-41-20,0.03
33907,13.47,23.19,994.51,23.83,11.03.25 14-41-23,0.0
34096,13.52,23.19,994.51,23.83,11.03.25 14-41-26,0.0
34288,13.53,23.19,994.52,23.83,11.03.25 14-41-29,0.02
34650,13.53,23.19,994.51,23.83,11.03.25 14-41-32,0.05
34848,13.51,23.19,994.51,23.83,11.03.25 14-41-35,0.02
35049,13.49,23.19,994.51,23.83,11.03.25 14-41-38,0.01
35310,13.46,23.19,994.51,23.82,11.03.25 14-41-41,0.03
35844,13.42,23.19,994.51,23.82,11.03.25 14-41-44,0.04
36209,13.37,23.19,994.51,23.82,11.03.25 14-41-47,0.06
36676,13.27,23.19,994.51,23.82,11.03.25 14-41-49,0.07
37090,13.18,23.19,994.51,23.82,11.03.25 14-41-52,0.05
37547,13.14,23.19,994.51,23.81,11.03.25 14-41-55,0.06
37448,13.11,23.19,994.51,23.81,11.03.25 14-41-58,0.06
37780,13.11,23.19,994.51,23.81,11.03.25 14-42-01,0.07
37914,13.11,23.19,994.51,23.8,11.03.25 14-42-04,0.06
38016,13.15,23.19,994.5,23.8,11.03.25 14-42-07,0.08
38288,13.19,23.19,994.5,23.8,11.03.25 14-42-10,0.08
38152,13.27,23.19,994.51,23.8,11.03.25 14-42-12,348.05
38186,13.38,23.19,994.5,23.81,11.03.25 14-42-15,644.91
38392,13.45,23.19,994.49,23.81,11.03.25 14-42-18,163.18
38531,13.5,23.19,994.48,23.81,11.03.25 14-42-21,0.07
39095,13.48,23.25,994.49,23.81,11.03.25 14-42-24,0.08
39384,13.44,23.19,994.49,23.81,11.03.25 14-42-27,0.08
39640,13.41,23.19,994.5,23.81,11.03.25 14-42-30,0.06
39788,13.39,23.25,994.5,23.82,11.03.25 14-42-33,0.06
40087,13.38,23.19,994.5,23.82,11.03.25 14-42-36,0.1
40201,13.37,23.19,994.5,23.82,11.03.25 14-42-38,0.05
40314,13.37,23.19,994.5,23.82,11.03.25 14-42-41,0.07
40467,13.38,23.19,994.51,23.82,11.03.25 14-42-44,0.06
40855,13.4,23.25,994.51,23.82,11.03.25 14-42-47,0.07
41330,13.4,23.25,994.51,23.82,11.03.25 14-42-50,0.04
41491,13.37,23.25,994.51,23.82,11.03.25 14-42-53,0.05
41571,13.32,23.25,994.51,23.82,11.03.25 14-42-56,0.06
41816,13.36,23.19,994.51,23.82,11.03.25 14-43-02,0.06
40391,13.49,23.19,994.5,23.81,11.03.25 14-43-05,0.06
41012,13.51,23.19,994.49,23.81,11.03.25 14-43-08,0.05
41450,13.48,23.19,994.49,23.81,11.03.25 14-43-11,0.04
42188,13.43,23.19,994.49,23.82,11.03.25 14-43-14,0.04
42398,13.37,23.25,994.49,23.81,11.03.25 14-43-17,0.07
42567,13.37,23.25,994.48,23.82,11.03.25 14-43-20,0.05
42482,13.4,23.25,994.49,23.82,11.03.25 14-43-23,0.03
42314,13.51,23.25,994.5,23.82,11.03.25 14-43-26,0.05
42482,13.63,23.25,994.5,23.82,11.03.25 14-43-29,0.05
42909,13.69,23.25,994.5,23.82,11.03.25 14-43-33,0.07
43434,13.69,23.25,994.5,23.83,11.03.25 14-43-35,0.07
43700,13.64,23.25,994.5,23.83,11.03.25 14-43-39,0.02
43971,13.58,23.25,994.5,23.83,11.03.25 14-43-44,0.03
43257,13.5,23.25,994.51,23.82,11.03.25 14-43-47,0.04
43745,13.47,23.25,994.5,23.82,11.03.25 14-43-50,0.03
44016,13.42,23.25,994.51,23.82,11.03.25 14-43-53,0.04
44661,13.39,23.25,994.51,23.83,11.03.25 14-43-56,0.01
45038,13.37,23.25,994.51,23.83,11.03.25 14-43-59,0.06
45325,13.36,23.25,994.51,23.83,11.03.25 14-44-02,0.04
