gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
56612,14.37,23.06,995.89,23.24,12.03.25 13-16-04,-0.0
57028,14.35,23.06,995.88,23.24,12.03.25 13-16-07,-0.01
56952,14.36,23.06,995.88,23.24,12.03.25 13-16-10,-0.02
57104,14.37,23.06,995.88,23.24,12.03.25 13-16-13,-0.03
57566,14.36,23.06,995.88,23.24,12.03.25 13-16-19,0.01
55543,14.37,23.06,995.88,23.22,12.03.25 13-16-23,-0.02
56387,14.38,23.06,995.88,23.22,12.03.25 13-16-25,-0.03
56952,14.37,23.06,995.88,23.22,12.03.25 13-16-28,-0.01
57066,14.36,23.06,995.88,23.23,12.03.25 13-16-31,-0.01
57450,14.35,23.06,995.88,23.23,12.03.25 13-16-34,-0.01
57957,14.35,23.06,995.87,23.23,12.03.25 13-16-37,-0.03
58115,14.37,23.06,995.87,23.23,12.03.25 13-16-40,0.01
57411,14.42,23.06,995.87,23.23,12.03.25 13-16-43,-0.03
57761,14.5,23.06,995.86,23.23,12.03.25 13-16-46,-0.02
57722,14.52,23.06,995.87,23.24,12.03.25 13-16-49,-0.05
58474,14.52,23.06,995.87,23.24,12.03.25 13-16-52,-0.02
59081,14.49,23.06,995.87,23.24,12.03.25 13-16-55,0.01
58675,14.45,23.06,995.87,23.25,12.03.25 13-16-58,-0.03
58434,14.41,23.06,995.87,23.25,12.03.25 13-17-01,-0.05
58274,14.41,23.06,995.86,23.25,12.03.25 13-17-04,-0.02
58675,14.43,23.06,995.86,23.26,12.03.25 13-17-06,-0.02
59122,14.4,23.06,995.86,23.26,12.03.25 13-17-09,-0.02
58756,14.36,23.06,995.86,23.26,12.03.25 13-17-12,-0.03
59163,14.36,23.06,995.85,23.26,12.03.25 13-17-15,-0.03
59369,14.36,23.06,995.85,23.26,12.03.25 13-17-18,-0.02
59245,14.33,23.06,995.86,23.26,12.03.25 13-17-21,0.02
59410,14.35,23.06,995.86,23.26,12.03.25 13-17-24,-0.02
59911,14.35,23.06,995.86,23.26,12.03.25 13-17-27,-0.03
59911,14.35,23.06,995.87,23.26,12.03.25 13-17-30,-0.02
60292,14.34,23.06,995.87,23.27,12.03.25 13-17-32,-0.03
60079,14.33,23.06,995.86,23.27,12.03.25 13-17-35,-0.04
60292,14.33,23.06,995.87,23.27,12.03.25 13-17-38,-0.04
60037,14.32,23.06,995.87,23.27,12.03.25 13-17-41,-0.03
60122,14.31,23.06,995.87,23.27,12.03.25 13-17-44,0.0
59911,14.31,23.06,995.87,23.27,12.03.25 13-17-47,0.0
59869,14.33,23.06,995.87,23.27,12.03.25 13-17-51,-0.01
60079,14.33,23.06,995.86,23.27,12.03.25 13-17-54,-0.04
59953,14.33,23.06,995.86,23.27,12.03.25 13-17-56,-0.03
60462,14.31,23.06,995.87,23.28,12.03.25 13-18-02,-0.01
58195,14.31,23.06,995.87,23.27,12.03.25 13-18-05,-0.03
