Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
8,2,APEX,Rykk,12.03.25 18-11-12.csv,164,2025-03-12 18:10:00,2025-03-12 18:11:59,33.0,,-20.0,True,False,True,"bra rykk, på muskel",7.661,0.0,0,692.08,./main/output/plots/12.03.25 18-11-12.png
8,2,BASIS,Motor,12.03.25 18-25-40.csv,164,2025-03-12 18:24:00,2025-03-12 18:25:59,33.0,-13.0,-20.0,True,False,False,Løsnet lett,6.372214,0.0,0,155.18,./main/output/plots/12.03.25 18-25-40.png
8,3,BASIS,Motor,12.03.25 18-13-13.csv,254,2025-03-12 18:11:00,2025-03-12 18:13:59,35.0,-7.0,-8.0,True,True,False,"Rift i muskel, løftet røret, litt sen sampling. Lekkasje i pose, grå ""kokt"" tunge",13.246214,0.0,0,625.16,./main/output/plots/12.03.25 18-13-13.png
8,3,APEX,Rykk,12.03.25 18-27-04.csv,254,2025-03-12 18:26:00,2025-03-12 18:27:59,35.0,-16.0,-15.0,True,True,False,"Trengte to rykk, løftet rør først. Lekkasje i pose, grå ""kokt"" tunge",8.526,0.0,0,1477.83,./main/output/plots/12.03.25 18-27-04.png
8,4,BASIS,Motor,12.03.25 18-15-56.csv,155,2025-03-12 18:14:00,2025-03-12 18:16:59,34.0,-12.0,-8.0,True,True,False,"Løftet rør, lang kontakt",10.229214,0.0,0,1833.07,./main/output/plots/12.03.25 18-15-56.png
8,4,APEX,Motor,12.03.25 18-29-54.csv,155,2025-03-12 18:29:00,2025-03-12 18:31:59,34.0,-10.0,-12.0,True,True,True,"Løftet rør, tunge datt ned fra mount",9.740214,0.0,0,1472.15,./main/output/plots/12.03.25 18-29-54.png
8,5,APEX,Motor,12.03.25 18-17-57.csv,178,2025-03-12 18:16:00,2025-03-12 18:18:59,34.0,-11.0,-3.0,True,True,True,løs hinne som løsnet,4.452214,0.0,0,252.88,./main/output/plots/12.03.25 18-17-57.png
8,5,BASIS,Rykk,12.03.25 18-32-31.csv,178,2025-03-12 18:31:00,2025-03-12 18:32:59,34.0,-11.0,-9.0,True,True,False,"Bra rykk, holdt mulignes borti røret ved rykk",7.8620149999999995,0.0,0,1282.42,./main/output/plots/12.03.25 18-32-31.png
8,6,APEX,Motor,12.03.25 18-22-25.csv,197,2025-03-12 18:20:00,2025-03-12 18:22:59,33.0,-6.0,-27.0,True,False,True,"ingen hinne, løsnet lett",7.991214,0.0,0,13.78,./main/output/plots/12.03.25 18-22-25.png
8,6,BASIS,Rykk,12.03.25 18-33-58.csv,197,2025-03-12 18:33:00,2025-03-12 18:34:59,33.0,-11.0,-6.0,True,True,False,"Trengte to rykk, touchet røret ved avrivning",3.24,0.0,0,1380.59,./main/output/plots/12.03.25 18-33-58.png
9,1,BASIS,Motor,12.03.25 18-47-21.csv,178,2025-03-12 18:46:00,2025-03-12 18:47:59,35.0,,-20.0,True,True,False,Kjørte motor litt ned etter sampling hadde begynt,7.426206,0.0,0,550.96,./main/output/plots/12.03.25 18-47-21.png
9,1,APEX,Motor,12.03.25 18-58-33.csv,178,2025-03-12 18:57:00,2025-03-12 18:58:59,33.0,-12.0,-18.0,True,True,False,"middels apex, satt godt og løsnet fra mount",7.7382159999999995,0.0,0,1613.92,./main/output/plots/12.03.25 18-58-33.png
